x,s1,s2,s3,s4,s5
0.8657062629715542,-1.0000060569335003,-0.7314368618029313,-0.7465268087927469,0.015089946989815584,0.0009565806242132266
0.8658283481870346,-1.0000059817646678,-0.7316809748334292,-0.7463175356571599,0.01463656082373066,0.0006230898824651678
0.865950433402515,-1.0000059064825675,-0.7319250876798703,-0.7460983456775384,0.01417325799766811,0.0002894599350713752
0.8660725186179954,-1.0000058310868594,-0.7321692003420118,-0.7458695100149816,0.013700309672969757,-4.4115519365553304e-5
0.8661946038334758,-1.0000057555774056,-0.7324133128196351,-0.7456313062767228,0.01321799345708774,-0.0003774429430007089
0.8663166890489562,-1.0000056799540389,-0.7326574251125436,-0.7453840183554923,0.01272659324294867,-0.0007103290708639052
0.8664387742644366,-1.0000056042165426,-0.7329015372205009,-0.7451279362647433,0.012226399044242386,-0.001042581022743958
0.866560859479917,-1.0000055283647247,-0.7331456491433033,-0.7448633559698148,0.01171770682651152,-0.0013740064147756944
0.8666829446953974,-1.000005452398479,-0.7333897608807545,-0.7445905792151434,0.011200818334388907,-0.0017044134706643084
0.8668050299108778,-1.0000053763174974,-0.7336338724326082,-0.7443099133476077,0.010676040914999407,-0.0020336111324851676
0.8669271151263582,-1.0000053001216913,-0.7338779837986596,-0.7440216711361324,0.010143687337472729,-0.0023614091709920756
0.8670492003418386,-1.0000052238108526,-0.7341220949786893,-0.7437261705876184,0.009604075608929064,-0.002687618295372712
0.867171285557319,-1.0000051473847689,-0.7343662059724584,-0.7434237347593661,0.009057528786907687,-0.003012050262387094
0.8672933707727994,-1.0000050708432326,-0.7346103167797897,-0.7431146915680111,0.008504374788221414,-0.0033345179848263892
0.8674154559882798,-1.0000049941861402,-0.7348544274004432,-0.7427993735951908,0.007944946194747615,-0.0036548356392296917
0.8675375412037603,-1.0000049174132106,-0.7350985378341806,-0.7424781178899543,0.007379580055773771,-0.003972818772796823
0.8676596264192407,-1.0000048405242878,-0.7353426480808359,-0.7421512657681224,0.006808617687286467,-0.004288284409435769
0.8677817116347211,-1.0000047635191798,-0.7355867581401365,-0.7418191626086323,0.006232404468495822,-0.004601051154883842
0.8679037968502015,-1.0000046863976784,-0.7358308680118552,-0.7414821576470573,0.005651289635202117,-0.004910939300842323
0.8680258820656819,-1.0000046091596082,-0.7360749776958001,-0.7411406037663664,0.005065626070566265,-0.0052177709280648455
0.8681479672811623,-1.0000045318047992,-0.7363190871917417,-0.7407948572851123,0.004475770093370635,-0.005521370008340511
0.8682700524966427,-1.0000044543330526,-0.7365631964994765,-0.7404452777430871,0.003882081243610558,-0.005821562505313374
0.8683921377121231,-1.0000043767441107,-0.7368073056187189,-0.7400922276846659,0.0032849220659469935,-0.006118176474080638
0.8685142229276035,-1.0000042990377758,-0.7370514145493,-0.7397360724398897,0.0026846578905896923,-0.006411042159512666
0.8686363081430839,-1.0000042212139233,-0.7372955232909723,-0.7393771799034805,0.0020816566125082536,-0.006699992093238677
0.8687583933585643,-1.0000041432723157,-0.7375396318435157,-0.739015920311871,0.0014762884683553468,-0.00698486118924282
0.8688804785740447,-1.0000040652127675,-0.7377837402067107,-0.73865266601841,0.0008689258116992837,-0.007265486838016136
0.8690025637895251,-1.0000039870350248,-0.7380278483803077,-0.7382877912668754,0.00025994288656772113,-0.007541708999210829
0.8691246490050055,-1.0000039087390173,-0.7382719563640951,-0.7379216719634318,-0.00035028440066331434,-0.007813370292744126
0.8692467342204859,-1.0000038303244028,-0.738516064157856,-0.737554685447155,-0.0009613787107010108,-0.008080316088299965
0.8693688194359663,-1.0000037517910165,-0.7387601717613401,-0.737187210259275,-0.0015729615020650956,-0.008342394593177736
0.8694909046514467,-1.0000036731386985,-0.7390042791743245,-0.7368196259112896,-0.0021846532630349635,-0.008599456938438187
0.8696129898669271,-1.0000035943671925,-0.7392483863965786,-0.7364523126520598,-0.0027960737445188455,-0.008851357263297803
0.8697350750824075,-1.0000035154763347,-0.7394924934278824,-0.7360856512340488,-0.0034068421938335813,-0.009097952797723819
0.869857160297888,-1.0000034364658799,-0.7397366002679769,-0.735720022678835,-0.004016577589141979,-0.009339103943183255
0.8699792455133684,-1.0000033573356581,-0.739980706916652,-0.7353558080420664,-0.0046248988745856145,-0.009574674351500357
0.8701013307288488,-1.0000032780854253,-0.7402248133736749,-0.734993388177963,-0.005231425195711847,-0.00980453100177802
0.8702234159443292,-1.000003198715013,-0.7404689196388089,-0.7346331435035357,-0.005835776135273196,-0.010028544275339888
0.8703455011598096,-1.0000031192241614,-0.7407130257118109,-0.7342754537626577,-0.006437571949153176,-0.010246588028651017
0.87046758637529,-1.0000030396131065,-0.7409571315928467,-0.7339206977901515,-0.007036433802695252,-0.01045853966417615
0.8705896715907704,-1.0000029598804412,-0.7412012372805187,-0.7335692532759923,-0.00763198400452636,-0.010664280199135923
0.8707117568062508,-1.0000028800270986,-0.7414453427757219,-0.73322149652983,-0.008223846245891897,-0.010863694332122554
0.8708338420217312,-1.0000028000525036,-0.74168944807788,-0.732877802245922,-0.008811645831957926,-0.011056670507537772
0.8709559272372116,-1.0000027199564083,-0.7419335531867022,-0.7325385432686641,-0.0093950099180381,-0.011243100977817142
0.871078012452692,-1.0000026397386936,-0.742177658102016,-0.7322040903588399,-0.009973567743176037,-0.011422881863406132
0.8712000976681724,-1.0000025593990314,-0.7424217628235275,-0.7318748119607345,-0.010546950862793003,-0.011595913210454651
0.8713221828836528,-1.0000024789372783,-0.7426658673510259,-0.7315510739702693,-0.011114793380756605,-0.011762099046198168
